#title = mean sea level anomaly Pacific Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.77 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2001.1580,-3.86000,,,
2001.1851,-0.16000,,,
2001.2123,0.24000,,,
2001.2395,8.74000,,,
2001.2666,4.24000,,,
2001.2936,-0.06000,,,
2001.3209,-1.26000,,,
2001.3480,-5.16000,,,
2001.3752,2.84000,,,
2001.4024,2.44000,,,
2001.4295,-1.06000,,,
2001.4566,-4.36000,,,
2001.4840,7.54000,,,
2001.5109,8.44000,,,
2001.5380,15.94000,,,
2001.5652,8.44000,,,
2001.5923,16.24000,,,
2001.6194,16.84000,,,
2001.6467,7.84000,,,
2001.6738,7.64000,,,
2001.7010,20.44000,,,
2001.7281,19.64000,,,
2001.7553,15.14000,,,
2001.7824,4.44000,,,
2001.8095,-0.56000,,,
2001.8367,5.34000,,,
2001.8638,6.14000,,,
2001.8917,10.34000,,,
2001.9182,11.24000,,,
2001.9453,6.04000,,,
2001.9723,-4.86000,,,
2001.9996,-1.46000,,,
2002.0269,-4.36000,,,
2002.0538,,-3.91000,,
2002.0539,1.94000,,,
2002.0810,-3.96000,,,
2002.0819,,-1.61000,,
2002.1082,-8.66000,-1.71000,,
2002.1351,,2.89000,,
2002.1353,-3.66000,,,
2002.1625,,-0.41000,,
2002.1626,-2.06000,,,
2002.1896,1.54000,,,
2002.1897,,-4.01000,,
2002.2168,7.74000,6.19000,,
2002.2439,5.04000,4.89000,,
2002.2711,1.34000,,,
2002.2712,,8.89000,,
2002.2982,,0.79000,,
2002.2987,-3.56000,,,
2002.3254,-3.66000,-5.11000,,
2002.3525,,2.19000,,
2002.3526,7.74000,,,
2002.3796,12.44000,10.69000,,
2002.4069,2.14000,1.99000,,
2002.4339,-3.16000,,,
2002.4340,,1.89000,,
2002.4610,1.14000,6.39000,,
2002.4883,30.34000,28.29000,,
2002.5154,,26.59000,,
2002.5426,20.14000,21.29000,,
2002.5697,16.24000,20.49000,,
2002.5968,6.44000,,,
2002.5969,,12.49000,,
2002.6240,17.14000,19.99000,,
2002.6512,,14.89000,,
2002.6550,16.44000,,,
2002.6782,18.64000,,,
2002.6783,,12.99000,,
2002.7054,,9.99000,,
2002.7064,17.04000,,,
2002.7326,15.24000,14.09000,,
2002.7597,,14.59000,,
2002.7600,11.84000,,,
2002.7864,19.34000,,,
2002.7869,,18.49000,,
2002.8140,,30.59000,,
2002.8143,34.04000,,,
2002.8412,,21.19000,,
2002.8414,28.04000,,,
2002.8684,29.24000,26.29000,,
2002.8943,,23.79000,,
2002.8961,25.34000,,,
2002.9226,,19.59000,,
2002.9227,21.64000,,,
2002.9498,15.34000,12.09000,,
2002.9769,14.04000,8.69000,,
2003.0041,,8.09000,,
2003.0042,16.64000,,,
2003.0313,14.44000,10.79000,,
2003.0583,10.74000,11.39000,,
2003.0854,,14.09000,,
2003.0855,10.94000,,,
2003.1127,7.74000,7.79000,,
2003.1398,,1.29000,,
2003.1399,4.34000,,,
2003.1669,15.24000,,,
2003.1670,,5.99000,,
2003.1941,,1.39000,,
2003.1942,7.44000,,,
2003.2212,2.24000,,,
2003.2213,,2.19000,,
2003.2484,,2.59000,,
2003.2485,5.74000,,,
2003.2755,6.44000,,,
2003.2798,,6.69000,,
2003.3027,15.44000,7.89000,,
2003.3299,2.74000,-5.71000,,
2003.3570,8.84000,0.59000,,
2003.3842,14.34000,10.89000,,
2003.4113,6.74000,8.89000,,
2003.4385,,3.99000,,
2003.4386,4.74000,,,
2003.4655,-0.26000,,,
2003.4656,,-5.61000,,
2003.4927,1.24000,-3.61000,,
2003.5199,8.84000,6.69000,,
2003.5471,,13.09000,,
2003.5472,13.24000,,,
2003.5741,8.54000,,,
2003.5742,,13.79000,,
2003.6013,13.64000,13.59000,,
2003.6285,,7.49000,,
2003.6286,12.64000,,,
2003.6556,28.94000,22.89000,,
2003.6828,24.44000,21.69000,,
2003.7098,11.64000,,,
2003.7099,,16.69000,,
2003.7370,,10.69000,,
2003.7371,9.04000,,,
2003.7643,,13.39000,,
2003.7644,13.44000,,,
2003.7913,19.74000,15.39000,,
2003.8185,19.64000,12.69000,,
2003.8457,10.74000,4.69000,,
2003.8708,,7.59000,,
2003.8729,5.04000,,,
2003.9000,11.44000,,,
2003.9112,,7.19000,,
2003.9270,16.44000,,,
2003.9271,,15.49000,,
2003.9543,18.44000,12.19000,,
2003.9813,21.04000,,,
2003.9814,,11.59000,,
2004.0084,10.94000,,,
2004.0085,,9.79000,,
2004.0356,2.94000,,,
2004.0358,,7.39000,,
2004.0628,,5.09000,,
2004.0629,0.94000,,,
2004.0899,3.74000,,,
2004.0900,,3.69000,,
2004.1134,,4.09000,,
2004.1171,16.04000,,,
2004.1442,14.94000,,,
2004.1488,,15.49000,,
2004.1714,16.84000,12.39000,,
2004.1986,,5.19000,,
2004.1987,3.24000,,,
2004.2257,6.64000,,,
2004.2258,,6.89000,,
2004.2512,,18.79000,,
2004.2530,22.34000,,,
2004.2801,22.14000,14.09000,,
2004.3073,,16.99000,,
2004.3075,24.44000,,,
2004.3343,10.74000,2.79000,,
2004.3614,12.44000,7.29000,,
2004.3886,23.04000,18.79000,,
2004.4158,,15.69000,,
2004.4428,,11.39000,,
2004.4702,,12.29000,,
2004.4729,19.24000,,,
2004.4971,14.74000,,,
2004.4973,,17.09000,,
2004.5228,13.84000,,,
2004.5243,,22.19000,,
2004.5496,12.84000,,,
2004.5515,,19.99000,,
2004.5771,9.94000,,,
2004.5786,,13.29000,,
2004.6059,,12.59000,,
2004.6064,17.94000,,,
2004.6329,,15.79000,,
2004.6331,18.64000,,,
2004.6601,22.14000,20.09000,,
2004.6869,14.54000,,,
2004.6873,,20.09000,,
2004.7143,21.74000,,,
2004.7144,,24.59000,,
2004.7414,14.14000,,,
